Size,SelectionSort,InsertionSort,BinaryInsertionSort,BubbleSort,ShakerSort,ShellSort,HeapSort,MergeSort,QuickSort,CountingSort,RadixSort,FlashSort
1000,0,0,0,0,16,0,0,0,0,0,0,0
3000,16,31,20,51,67,0,1,12,1,0,0,0
10000,329,293,174,689,1512,2,4,204,1,0,3,1
30000,3277,2451,2056,6989,8642,0,16,1213,3,1,9,2
100000,27708,19314,15035,50327,65342,0,31,9207,0,0,31,0
